concept,token_embedding_drift,hidden_state_drift,peak_layer,neighborhood_replacement_rate
energy,5.960464477539063e-08,0.0028887391090393066,5,0.33333333333333337
security,5.960464477539063e-08,0.003568887710571289,5,0.46153846153846156
trade,5.960464477539063e-08,0.003737151622772217,5,0.18181818181818177
industry,-1.1920928955078125e-07,0.003664255142211914,5,0.5714285714285714
technology,-1.1920928955078125e-07,0.0038686394691467285,5,0.46153846153846156
investment,0.0,0.0033959150314331055,5,0.46153846153846156
growth,0.0,0.005753695964813232,5,0.33333333333333337
defense,0.0,0.003168344497680664,5,0.18181818181818177
