concept,token_embedding_drift,hidden_state_drift,peak_layer,neighborhood_replacement_rate
machine,5.960464477539063e-08,0.006909489631652832,5,0.6666666666666667
power,5.960464477539063e-08,0.006464242935180664,5,0.6666666666666667
flight,0.0,0.006230831146240234,5,0.5714285714285714
weapon,-1.1920928955078125e-07,0.007604479789733887,5,0.6666666666666667
energy,5.960464477539063e-08,0.008544087409973145,5,0.8235294117647058
vision,0.0,0.007371425628662109,5,0.75
future,0.0,0.007843613624572754,5,0.75
science,0.0,0.012098252773284912,5,0.8235294117647058
