concept,token_embedding_drift,hidden_state_drift,peak_layer,neighborhood_replacement_rate
energy,5.960464477539063e-08,0.004080712795257568,5,0.46153846153846156
security,5.960464477539063e-08,0.005008995532989502,5,0.6666666666666667
trade,5.960464477539063e-08,0.004609346389770508,5,0.18181818181818177
industry,-1.1920928955078125e-07,0.006544649600982666,5,0.46153846153846156
technology,-1.1920928955078125e-07,0.006973743438720703,5,0.46153846153846156
investment,0.0,0.004343390464782715,5,0.5714285714285714
growth,0.0,0.008815884590148926,5,0.5714285714285714
defense,0.0,0.004311084747314453,5,0.46153846153846156
