concept,token_embedding_drift,hidden_state_drift,peak_layer,neighborhood_replacement_rate
machine,5.960464477539063e-08,0.007761597633361816,5,0.75
power,5.960464477539063e-08,0.007167339324951172,5,0.6666666666666667
flight,0.0,0.006883442401885986,5,0.5714285714285714
weapon,-1.1920928955078125e-07,0.008119940757751465,5,0.75
energy,5.960464477539063e-08,0.009204328060150146,5,0.8888888888888888
vision,0.0,0.008558809757232666,5,0.75
future,0.0,0.009003043174743652,5,0.8888888888888888
science,0.0,0.012870490550994873,5,0.8235294117647058
