concept,layer,drift
time,0,5.960464477539063e-08
time,1,0.013193905353546143
time,2,0.027263998985290527
time,3,0.03431546688079834
time,4,0.04540771245956421
time,5,0.05711489915847778
time,6,0.004671812057495117
space,0,0.0
space,1,0.014541685581207275
space,2,0.008467674255371094
space,3,0.010447859764099121
space,4,0.015248298645019531
space,5,0.02514934539794922
space,6,0.004618346691131592
matter,0,0.0
matter,1,0.018920421600341797
matter,2,0.04064834117889404
matter,3,0.0493236780166626
matter,4,0.06581735610961914
matter,5,0.07017010450363159
matter,6,0.005353331565856934
mind,0,0.0
mind,1,0.018677473068237305
mind,2,0.0366634726524353
mind,3,0.047624051570892334
mind,4,0.06600326299667358
mind,5,0.0724441409111023
mind,6,0.0036984682083129883
method,0,0.0
method,1,0.015910446643829346
method,2,0.0417136549949646
method,3,0.04557532072067261
method,4,0.05742692947387695
method,5,0.07426691055297852
method,6,0.0062958598136901855
truth,0,0.0
truth,1,0.020164668560028076
truth,2,0.04106032848358154
truth,3,0.056380629539489746
truth,4,0.08291351795196533
truth,5,0.09507548809051514
truth,6,0.008863985538482666
force,0,5.960464477539063e-08
force,1,0.017464101314544678
force,2,0.04030483961105347
force,3,0.042353034019470215
force,4,0.05962181091308594
force,5,0.0579911470413208
force,6,0.0031152963638305664
system,0,5.960464477539063e-08
system,1,0.011524617671966553
system,2,0.030544698238372803
system,3,0.03771084547042847
system,4,0.04906022548675537
system,5,0.06563234329223633
system,6,0.0046700239181518555
