concept,token_embedding_drift,hidden_state_drift,peak_layer,neighborhood_replacement_rate
machine,5.960464477539063e-08,0.005305290222167969,5,0.8235294117647058
power,5.960464477539063e-08,0.0049773454666137695,5,0.5714285714285714
flight,0.0,0.004662990570068359,5,0.46153846153846156
weapon,-1.1920928955078125e-07,0.006134986877441406,5,0.5714285714285714
energy,5.960464477539063e-08,0.006180167198181152,5,0.8235294117647058
vision,0.0,0.005452871322631836,5,0.75
future,0.0,0.005202770233154297,5,0.75
science,0.0,0.009444594383239746,5,0.8235294117647058
