concept,token_embedding_drift,hidden_state_drift,peak_layer,neighborhood_replacement_rate
time,0.0,0.0028597116470336914,5,0.6666666666666667
space,0.0,0.0028443336486816406,5,0.18181818181818177
matter,0.0,0.0036674141883850098,5,0.33333333333333337
mind,-1.1920928955078125e-07,0.003028273582458496,5,0.46153846153846156
method,0.0,0.004808664321899414,5,0.6666666666666667
truth,0.0,0.005199909210205078,5,0.46153846153846156
force,0.0,0.001737058162689209,5,0.6666666666666667
system,5.960464477539063e-08,0.0031305551528930664,5,0.6666666666666667
